CHM00056080,35,102.9,HEZUO
CHM00056096,33.4,104.917,WUDU
CHM00056106,31.883,93.783,SOG
CHM00056116,31.417,95.6,DENGQEN
CHM00056137,31.15,97.167,QAMDO
CHM00056146,31.617,100,GARZE
CHM00056172,31.9,102.233,BARKAM
CHM00056182,32.65,103.567,SONGPAN
CHM00056187,30.75,103.867,WENJIANG
CHM00056257,30,100.267,LITANG
CHM00056294,30.667,104.017,CHENGDU
CHM00056444,28.45,98.883,DEQEN
CHM00056462,29,101.5,JIULONG
CHM00056492,28.8,104.6,YIBIN
CHM00056571,27.9,102.267,XICHANG
CHM00056651,26.833,100.467,LIJING
CHM00056671,26.65,102.25,HUILI
CHM00056739,25.117,98.483,TENGCHONG
CHM00056768,25.017,101.517,CHUXIONG
CHM00056778,25.017,102.683,KUNMING
CHM00056951,23.95,100.217,LINCANG
CHM00056954,22.567,99.933,LANCANG
CHM00056964,22.767,100.983,SIMAO
CHM00056985,23.383,103.383,MENGZI
CHM00057006,34.583,105.75,TIANSHUI
CHM00057014,34.567,105.867,BEIDAO
CHM00057036,34.3,108.933,XIAN
CHM00057067,34.05,111.033,LUSHI
CHM00057083,34.717,113.65,ZHENGZHOU
CHM00057127,33.067,107.033,HANZHONG
CHM00057131,34.433,108.967,JINGHE
CHM00057237,32.067,108.033,WANYUAN
CHM00057265,32.383,111.667,GUANGHUA
CHM00057290,33,114.017,ZHUMADIAN
CHM00057297,32.133,114.05,XINYANG
CHM00057411,30.8,106.083,NANCHONG
CHM00057447,30.283,109.467,ENSHI
CHM00057461,30.7,111.3,YICHANG
CHM00057494,30.6,114.05,WUHAN
CHM00057515,29.517,106.483,CHONG-QING
CHM00057516,29.583,106.467,CHONGQING
CHM00057633,28.833,108.767,YOUYANG
CHM00057662,29.05,111.683,CHANGDE
CHM00057679,28.2,113.083,CHANGSHA
CHM00057687,28.233,112.867,CHANGSHA
CHM00057707,27.3,105.233,BIJIE
CHM00057713,27.7,106.883,ZUNYI
CHM00057745,27.45,109.683,ZHIJIANG
CHM00057799,27.117,114.967,JIAN
CHM00057816,26.583,106.733,GUIYANG
CHM00057866,26.233,111.617,LINGLING
CHM00057902,25.433,105.183,XINGREN
CHM00057957,25.333,110.3,GUILIN
CHM00057993,25.867,115,GANZHOU
CHM00058027,34.283,117.15,XUZHOU
CHM00058040,34.85,119.133,GANYU
CHM00058102,33.883,115.767,BOXIAN
